id,lastname,firstname,state,chamber,icpsr,bioname
04460,KERNAN,FRANCIS,NY,Senate,5202,"KERNAN, Francis"
04417,BURNSIDE,AMBROSE,RI,Senate,1299,"BURNSIDE, Ambrose Everett"
04457,JOHNSON,ANDREW,TN,Senate,4940,"JOHNSON, Andrew"
05318,PADDOCK,ALGERNON,NE,Senate,7148,"PADDOCK, Algernon Sidney"
04408,BOOTH,NEWTON,CA,Senate,854,"BOOTH, Newton"
04463,KEY,DAVID,TN,Senate,5222,"KEY, David McKendree"
04437,ENGLISH,JAMES,CT,Senate,2968,"ENGLISH, James Edward"
04545,BARNUM,WILLIAM,CT,Senate,455,"BARNUM, William Henry"
04889,MCMILLAN,SAMUEL,MN,Senate,6355,"McMILLAN, Samuel James Renwick"
06196,COCKRELL,FRANCIS,MO,Senate,1892,"COCKRELL, Francis Marion"
04421,CAPERTON,ALLEN,WV,Senate,1491,"CAPERTON, Allen Taylor"
04413,BRUCE,BLANCHE,MS,Senate,1155,"BRUCE, Blanche Kelso"
04548,PRICE,SAMUEL,WV,Senate,7616,"PRICE, Samuel"
04507,SHARON,WILLIAM,NV,Senate,8405,"SHARON, William"
06495,TELLER,HENRY,CO,Senate,9246,"TELLER, Henry Moore"
04547,CHAFFEE,JEROME,CO,Senate,1616,"CHAFFEE, Jerome Bunty"
04528,WALLACE,WILLIAM,PA,Senate,9770,"WALLACE, William Andrew"
04546,BLAINE,JAMES,ME,Senate,760,"BLAINE, James Gillespie"
04865,JONES,CHARLES,FL,Senate,5026,"JONES, Charles William"
04815,CAMERON,ANGUS,WI,Senate,1434,"CAMERON, Angus"
04600,GROVER,LA,OR,Senate,3861,"GROVER, La Fayette"
06327,HOAR,GEORGE,MA,Senate,4462,"HOAR, George Frisbie"
05367,BECK,JAMES,KY,Senate,560,"BECK, James Burnie"
04629,MATTHEWS,STANLEY,OH,Senate,6086,"MATTHEWS, Stanley"
04998,GARLAND,AUGUSTUS,AR,Senate,3475,"GARLAND, Augustus Hill"
04620,KIRKWOOD,SAMUEL,IA,Senate,5299,"KIRKWOOD, Samuel Jordan"
04652,SAUNDERS,ALVIN,NE,Senate,8226,"SAUNDERS, Alvin"
05391,COKE,RICHARD,TX,Senate,1915,"COKE, Richard"
04609,HEREFORD,FRANK,WV,Senate,4352,"HEREFORD, Frank"
04610,HILL,BENJAMIN,GA,Senate,4405,"HILL, Benjamin Harvey"
04550,ARMSTRONG,DAVID,MO,Senate,230,"ARMSTRONG, David Hartley"
05027,LAMAR,LUCIUS,MS,Senate,5416,"LAMAR, Lucius Quintus Cincinnatus"
04649,ROLLINS,EDWARD,NH,Senate,8041,"ROLLINS, Edward Henry"
05459,MCPHERSON,JOHN,NJ,Senate,6375,"McPHERSON, John Rhoderic"
05670,VOORHEES,DANIEL,IN,Senate,9685,"VOORHEES, Daniel Wolsey"
05138,EUSTIS,JAMES,LA,Senate,3000,"EUSTIS, James Biddle"
05482,PLUMB,PRESTON,KS,Senate,7489,"PLUMB, Preston B."
05025,KELLOGG,WILLIAM,LA,Senate,5147,"KELLOGG, William Pitt"
04780,SHIELDS,JAMES,MO,Senate,8470,"SHIELDS, James"
06352,MORGAN,JOHN,AL,Senate,6682,"MORGAN, John Tyler"
04553,BAILEY,JAMES,TN,Senate,342,"BAILEY, James Edmund"
05940,HARRIS,ISHAM,TN,Senate,4104,"HARRIS, Isham Green"
05379,BUTLER,MATTHEW,SC,Senate,1344,"BUTLER, Matthew Calbraith"
04578,DAVIS,DAVID,IL,Senate,2378,"DAVIS, David"
04733,GROOME,JAMES,MD,Senate,3850,"GROOME, James Black"
04766,PENDLETON,GEORGE,OH,Senate,7319,"PENDLETON, George Hunt"
04740,HOUSTON,GEORGE,AL,Senate,4610,"HOUSTON, George Smith"
04693,BELL,CHARLES,NH,Senate,597,"BELL, Charles Henry"
05157,HAMPTON,WADE,SC,Senate,4020,"HAMPTON, Wade"
04744,JONAS,BENJAMIN,LA,Senate,5017,"JONAS, Benjamin Franklin"
04723,FARLEY,JAMES,CA,Senate,3061,"FARLEY, James Thompson"
06159,VEST,GEORGE,MO,Senate,9665,"VEST, George Graham"
06475,PLATT,ORVILLE,CT,Senate,7482,"PLATT, Orville Hitchcock"
05566,CALL,WILKINSON,FL,Senate,1425,"CALL, Wilkinson"
04781,SLATER,JAMES,OR,Senate,8567,"SLATER, James Harvey"
04792,WALKER,JAMES,AR,Senate,9745,"WALKER, James David"
05697,BLAIR,HENRY,NH,Senate,765,"BLAIR, Henry William"
04688,BALDWIN,HENRY,MI,Senate,384,"BALDWIN, Henry Porter"
05057,PRYOR,LUKE,AL,Senate,7640,"PRYOR, Luke"
05116,BROWN,JOSEPH,GA,Senate,1126,"BROWN, Joseph Emerson"
05639,PUGH,JAMES,AL,Senate,7644,"PUGH, James Lawrence"
04796,WILLIAMS,JOHN,KY,Senate,10166,"WILLIAMS, John Stuart"
05668,VANCE,ZEBULON,NC,Senate,9601,"VANCE, Zebulon Baird"
04738,HILL,NATHANIEL,CO,Senate,4420,"HILL, Nathaniel Peter"
04880,MAHONE,WILLIAM,VA,Senate,5926,"MAHONE, William"
04822,CONGER,OMAR,MI,Senate,1981,"CONGER, Omar Dwight"
06220,HAWLEY,JOSEPH,CT,Senate,4220,"HAWLEY, Joseph Roswell"
04892,MITCHELL,JOHN,PA,Senate,6566,"MITCHELL, John Inscho"
06445,GORMAN,ARTHUR,MD,Senate,3709,"GORMAN, Arthur Pue"
05717,CAMDEN,JOHNSON,WV,Senate,1432,"CAMDEN, Johnson Newlon"
04838,FAIR,JAMES,NV,Senate,3045,"FAIR, James Graham"
06008,SEWELL,WILLIAM,NJ,Senate,8379,"SEWELL, William Joyce"
06669,FRYE,WILLIAM,ME,Senate,3385,"FRYE, William Pierce"
04862,JACKSON,HOWELL,TN,Senate,4852,"JACKSON, Howell Edmunds"
05330,SAWYER,PHILETUS,WI,Senate,8239,"SAWYER, Philetus"
05355,HARRISON,BENJAMIN,IN,Senate,4124,"HARRISON, Benjamin"
04885,MCDILL,JAMES,IA,Senate,6215,"McDILL, James Wilson"
04938,VAN WYCK,CHARLES,NE,Senate,9643,"VAN WYCK, Charles Henry"
04873,LAPHAM,ELBRIDGE,NY,Senate,5473,"LAPHAM, Elbridge Gerry"
04951,CHILCOTT,GEORGE,CO,Senate,1690,"CHILCOTT, George Miles"
04950,BARROW,MIDDLETON,GA,Senate,470,"BARROW, Middleton Pope"
05082,TABOR,HORACE,CO,Senate,9147,"TABOR, Horace Austin Warner"
05760,GEORGE,JAMES,MS,Senate,3532,"GEORGE, James Zachariah"
06512,ALDRICH,NELSON,RI,Senate,71,"ALDRICH, Nelson Wilmarth"
06476,PLATT,THOMAS,NY,Senate,7483,"PLATT, Thomas Collier"
04890,MILLER,JOHN,CA,Senate,6493,"MILLER, John Franklin"
04891,MILLER,WARNER,NY,Senate,6514,"MILLER, Warner"
