id,lastname,firstname,state,chamber,icpsr,bioname
06367,RHEA,WILLIAM,VA,House,7840,"RHEA, William Francis"
07022,BURKE,CHARLES,SD,House,1261,"BURKE, Charles Henry"
06350,MOODY,MALCOLM,OR,House,6616,"MOODY, Malcolm Adelbert"
06177,BAILEY,WILLIS,KS,House,353,"BAILEY, Willis Joshua"
06384,STEWART,JOHN,NY,House,8942,"STEWART, John Knox"
07117,RICHARDSON,WILLIAM,AL,House,7882,"RICHARDSON, William"
06228,KERR,JOSIAH,MD,House,5211,"KERR, Josiah Leeds"
06397,WOODS,SAMUEL,CA,House,10356,"WOODS, Samuel Davis"
06649,CASSEL,HENRY,PA,House,1584,"CASSEL, Henry Burd"
06369,RUMPLE,JOHN,IA,House,8111,"RUMPLE, John Nicholas William"
07411,CANDLER,EZEKIEL,MS,House,1473,"CANDLER, Ezekiel Samuel, Jr."
06398,WOOTEN,DUDLEY,TX,House,10369,"WOOTEN, Dudley Goodall"
06520,BOWIE,SYDNEY,AL,House,909,"BOWIE, Sydney Johnston"
06454,KEHOE,JAMES,KY,House,5123,"KEHOE, James Nicholas"
07630,PADGETT,LEMUEL,TN,House,7150,"PADGETT, Lemuel Phillips"
08356,POU,EDWARD,NC,House,7565,"POU, Edward William"
07460,LEVER,ASBURY,SC,House,5624,"LEVER, Asbury Francis"
06586,NEVIN,ROBERT,OH,House,6885,"NEVIN, Robert Murphy"
06504,WARNOCK,WILLIAM,OH,House,9839,"WARNOCK, William Robert"
06971,RANDELL,CHOICE,TX,House,7718,"RANDELL, Choice Boswell"
06335,KERN,FREDERICK,IL,House,5200,"KERN, Frederick John"
06373,SELBY,THOMAS,IL,House,8352,"SELBY, Thomas Jefferson"
06484,RODEY,BERNARD,NM,NA,NA,NA
06865,TIRRELL,CHARLES,MA,House,9399,"TIRRELL, Charles Quincy"
07440,GOLDFOGLE,HENRY,NY,House,3651,"GOLDFOGLE, Henry Mayer"
06686,HOLLIDAY,ELIAS,IN,House,4523,"HOLLIDAY, Elias Selah"
06323,HANBURY,HARRY,NY,House,4022,"HANBURY, Harry Alfred"
06846,REID,CHARLES,AR,House,7807,"REID, Charles Chester"
06886,BATES,ARTHUR,PA,House,510,"BATES, Arthur Laban"
07368,SNOOK,JOHN,OH,House,8726,"SNOOK, John Stout"
06312,FEELY,JOHN,IL,House,3091,"FEELY, John Joseph"
06659,DARRAGH,ARCHIBALD,MI,House,2344,"DARRAGH, Archibald Bard"
07980,HUGHES,JAMES,WV,House,4702,"HUGHES, James Anthony"
08362,SHALLENBERGER,ASHTON,NE,House,8395,"SHALLENBERGER, Ashton Cokayne"
07202,JOHNSON,JOSEPH,SC,House,4975,"JOHNSON, Joseph Travis"
06339,LESSLER,MONTAGUE,NY,House,5618,"LESSLER, Montague"
06983,SUTHERLAND,GEORGE,UT,House,9092,"SUTHERLAND, George"
06702,MARSHALL,THOMAS,ND,House,6009,"MARSHALL, Thomas Frank"
